ID_Consulta,Tipo_Consulta,Consulta,Respuesta_SAE,Departamento_SAE,Satisfaccion_Cliente,Tiempo_Respuesta_Minutos
24,Tecnológica,"Mi cuenta de Teams no funciona,  ¿qué hago?","Verifica tu conexión y reinicia la aplicación. Si el problema persiste, contacta a Soporte TI con una captura de pantalla del error.",Soporte TI,3,60
25,Académica,¿Puedo cambiarme de carrera?,"Sí, puedes solicitar un cambio de carrera. Debes cumplir con los requisitos académicos y presentar la solicitud en Secretaría Académica.",Secretaría Académica,3,90
26,Financiera,¿Cómo solicito una devolución de dinero?,Las devoluciones de dinero se solicitan a través de un formulario en línea en la sección de Tesorería. Se evalúa cada caso y puede tardar hasta 15 días hábiles.,Tesorería,3,80
27,Bienestar,¿Hay algún programa de tutorías académicas?,"Sí, Bienestar Universitario ofrece un programa de tutorías académicas. Puedes inscribirte a través de su plataforma.",Bienestar Universitario,5,30
28,Académica,¿Cuándo se publican las notas finales del semestre 2025-1?,Las notas finales del semestre 2025-1 se publicarán el 15 de julio de 2025 en el portal del estudiante.,Secretaría Académica,5,15
29,Financiera,¿Cómo genero mi boleta de pago?,"Puedes generar tu boleta de pago desde la sección ""Mis Pagos"" en el portal del estudiante, seleccionando el periodo correspondiente.",Tesorería,5,10
30,Tecnológica,¿Cómo instalo el software de Microsoft Office gratis?,La UTP ofrece licencias gratuitas de Microsoft Office 365 para estudiantes. Puedes encontrar las instrucciones de instalación en el portal de Soporte TI.,Soporte TI,5,40
31,Académica,¿Cuál es el proceso para solicitar una licencia de estudios?,"Para solicitar una licencia de estudios, debes presentar una solicitud justificada en Secretaría Académica antes del inicio del semestre. Tiene un costo administrativo.",Secretaría Académica,3,100
32,Bienestar,¿Dónde puedo encontrar información sobre el seguro estudiantil?,"La información sobre el seguro estudiantil está disponible en la sección de ""Servicios al Estudiante"" de Bienestar Universitario en el portal.",Bienestar Universitario,4,20
33,Financiera,¿Puedo pagar mis cuotas en un banco?,"Sí, puedes pagar tus cuotas en los bancos autorizados (BCP, Interbank, BBVA) usando tu código de estudiante.",Tesorería,5,10
34,Académica,¿Cómo me inscribo en la bolsa de trabajo de la UTP?,"Puedes inscribirte en la bolsa de trabajo a través del portal de empleabilidad de la UTP, gestionado por Bienestar Universitario.",Secretaría Académica,4,35
35,Tecnológica,Mi acceso a la biblioteca virtual no funciona.,"Verifica tu conexión a internet. Si el problema persiste, contacta a Soporte TI o al personal de la biblioteca para asistencia.",Soporte TI,3,50
36,Académica,¿Cuándo son las fechas de exámenes sustitutorios 2025-1?,Las fechas de exámenes sustitutorios para el semestre 2025-1 serán del 20 al 25 de julio de 2025.,Secretaría Académica,4,25
37,Financiera,¿Hay algún apoyo económico para estudiantes con bajos recursos?,"Sí, la UTP tiene programas de apoyo socioeconómico. Debes postular y cumplir con los requisitos establecidos por Bienestar Universitario.",Tesorería,4,70
38,Bienestar,¿Cómo accedo a los servicios de salud en el campus?,La UTP cuenta con un tópico de salud en el campus. Puedes acudir directamente o llamar para programar una cita en casos específicos.,Bienestar Universitario,5,15
39,Académica,¿Cuál es el procedimiento para la titulación?,El procedimiento de titulación incluye la aprobación de la tesis y el cumplimiento de todos los requisitos académicos y administrativos. Consulta el reglamento de titulación en la web.,Secretaría Académica,3,120
40,Tecnológica,No puedo descargar archivos de la plataforma Canvas.,"Asegúrate de tener suficiente espacio de almacenamiento y una conexión estable. Si el problema continúa, contacta a Soporte TI.",Soporte TI,4,45
41,Financiera,¿Puedo pagar mi matrícula en línea?,"Sí, puedes pagar tu matrícula en línea a través del portal de pagos de la UTP, utilizando tarjeta de crédito o débito.",Tesorería,5,5
42,Académica,¿Cómo solicito un duplicado de carné universitario?,El duplicado de carné universitario se solicita en línea a través del portal del estudiante. Tiene un costo administrativo.,Secretaría Académica,4,30
43,Bienestar,¿Ofrecen asesoría legal gratuita para estudiantes?,"Sí, Bienestar Universitario ofrece asesoría legal básica para estudiantes. Debes solicitar una cita previa.",Bienestar Universitario,4,60
44,Tecnológica,¿Cómo me conecto a la red Wi-Fi de la universidad?,"Debes usar tu usuario y contraseña institucional para conectarte a la red Wi-Fi ""UTP_Alumnos"". Las instrucciones detalladas están en el portal de Soporte TI.",Soporte TI,5,10
45,Académica,¿Cuál es la nota mínima aprobatoria de un curso?,La nota mínima aprobatoria para un curso en la UTP es 13.,Secretaría Académica,5,5
46,Financiera,¿Qué hago si tengo un error en mi recibo de pago?,"Si encuentras un error en tu recibo de pago, contacta inmediatamente a Tesorería con los detalles del error para que puedan corregirlo.",Tesorería,4,50
47,Bienestar,¿Puedo participar en los equipos deportivos de la UTP?,"Sí, puedes participar en los equipos deportivos. Debes contactar al área de deportes de Bienestar Universitario para las pruebas y entrenamientos.",Bienestar Universitario,5,20
48,Académica,¿Cómo solicito una constancia de notas?,La constancia de notas se solicita en línea a través del portal del estudiante y tiene un costo. Puedes elegir la opción simple o con promedio ponderado.,Secretaría Académica,5,25
49,Tecnológica,Mi clave de acceso a la intranet ha expirado.,Debes ingresar al portal de restablecimiento de contraseña de la UTP y seguir los pasos para crear una nueva clave.,Soporte TI,5,15
50,Financiera,¿Qué es el seguro contra accidentes estudiantil?,Es un seguro que cubre a los estudiantes ante accidentes dentro o fuera del campus durante el periodo académico. La información detallada está en la sección de Tesorería.,Tesorería,4,35
51,Académica,¿Cómo me matriculo en un curso electivo?,"Los cursos electivos se matriculan durante el periodo regular de matrícula, al igual que los cursos obligatorios, a través de tu plan de estudios en el portal.",Secretaría Académica,4,20
52,Bienestar,¿Hay actividades culturales o artísticas en la UTP?,"Sí, Bienestar Universitario organiza constantemente talleres y eventos culturales y artísticos. Revisa su calendario en el portal.",Bienestar Universitario,5,25
53,Financiera,¿Puedo pagar mi matrícula en partes?,"Sí, la matrícula se divide en una cuota inicial y varias cuotas mensuales. Puedes ver el cronograma de pagos en tu estado de cuenta.",Tesorería,5,10
54,Académica,¿Cómo solicito una constancia de matrícula?,La constancia de matrícula se solicita en línea a través del portal del estudiante y se genera al instante una vez que has completado tu matrícula.,Secretaría Académica,5,5
55,Tecnológica,No puedo ver los videos de mis clases grabadas.,"Asegúrate de tener una buena conexión a internet y de que tu navegador esté actualizado. Si el problema persiste, contacta a Soporte TI.",Soporte TI,3,40
56,Académica,¿Cuáles son las fechas de inscripción para el segundo semestre de 2025?,Las fechas de inscripción para el semestre 2025-2 son del 15 al 30 de agosto de 2025.,Secretaría Académica,4,40
57,Académica,Necesito saber cuándo me puedo matricular para el ciclo 2025-II.,El ciclo 2025-II tiene su periodo de matrícula del 15 al 30 de agosto de 2025.,Secretaría Académica,5,35
58,Académica,Calendario de matrículas para el siguiente semestre.,El calendario de matrículas para el siguiente semestre (2025-2) es del 15 al 30 de agosto de 2025.,Secretaría Académica,4,45
59,Académica,¿Cuál es la fecha límite para matricularme en el semestre 2025-2?,La fecha límite para la matrícula en el semestre 2025-2 es el 30 de agosto de 2025.,Secretaría Académica,5,30
60,Académica,¿Cuándo inician las matrículas para el ciclo 2025-2?,Las matrículas para el ciclo 2025-2 inician el 15 de agosto de 2025.,Secretaría Académica,5,25
61,Financiera,¿La matrícula de Ingeniería Industrial es diferente?,"El costo de matrícula es el mismo para todas las ingenierías, S/ 500.00 más la primera cuota.",Tesorería,4,20
62,Financiera,¿Cuánto debo pagar de cuota mensual?,El monto de tu cuota mensual lo puedes revisar en tu estado de cuenta en el portal del estudiante.,Tesorería,5,10
63,Bienestar,"Quiero unirme a un club deportivo,  ¿dónde me informo?",Puedes informarte sobre los clubes deportivos y sus horarios en el área de Deportes de Bienestar Universitario.,Bienestar Universitario,4,20
64,Tecnológica,Tengo problemas con mi contraseña del campus virtual.,"Intenta restablecer tu contraseña usando la opción ""Olvidé mi contraseña"" en la página de login. Si no funciona, contacta a Soporte TI.",Soporte TI,3,60
65,Académica,¿Dónde veo mis notas parciales?,"Tus notas parciales se publican en el aula virtual de cada curso. Las finales, en tu portal del estudiante.",Secretaría Académica,4,10
66,Académica,¿Cómo puedo solicitar un certificado de estudios que incluya mis notas?,"Debes solicitar el ""Certificado de Estudios con Calificaciones"" en el portal de autoservicios, tiene un costo de S/35.",Secretaría Académica,5,40
67,Financiera,¿Aceptan pagos con Yape o Plin?,"Por el momento, los pagos se realizan a través de banca en línea, agentes o pasarela de pagos con tarjeta.",Tesorería,3,15
68,Bienestar,Necesito una constancia de asistencia a eventos de bienestar.,Las constancias de asistencia a eventos de bienestar se gestionan directamente con el área organizadora del evento.,Bienestar Universitario,3,40
69,Tecnológica,¿El Blackboard está caído?,"Puedes revisar el estado del servicio de Blackboard en el portal de avisos de la universidad. Si persiste, contacta a Soporte TI.",Soporte TI,3,30
70,Académica,¿Cómo solicito una ampliación de matrícula?,Las ampliaciones de matrícula se solicitan en fechas específicas del calendario académico y requieren aprobación de Secretaría Académica.,Secretaría Académica,3,70
71,Financiera,¿Hay becas por mérito académico para alumnos antiguos?,"Sí, la UTP ofrece becas por mérito académico para alumnos con alto rendimiento. Revisa la convocatoria anual en la web de Bienestar Universitario.",Tesorería,4,50
72,Bienestar,¿Se ofrecen talleres de oratoria o liderazgo?,"Sí, Bienestar Universitario organiza talleres de habilidades blandas como oratoria y liderazgo. Consulta su cronograma.",Bienestar Universitario,5,20
73,Académica,¿Dónde veo mi malla curricular de mi carrera?,"Tu malla curricular está disponible en la sección de ""Plan de Estudios"" de tu portal del estudiante o en la web de la UTP.",Secretaría Académica,5,10
74,Financiera,¿Cómo sé cuándo vence mi próxima cuota?,La fecha de vencimiento de tu próxima cuota está indicada en tu estado de cuenta en el portal del estudiante.,Tesorería,5,5
75,Tecnológica,No puedo subir mi trabajo a la plataforma.,"Verifica el formato y tamaño del archivo. Si es muy grande, comprímelo. Si el problema persiste, contacta a Soporte TI.",Soporte TI,4,40
76,Académica,¿Cuál es el proceso para matricularme en segunda carrera?,"Para una segunda carrera, debes contactar a Admisión o Secretaría Académica para convalidación de cursos y proceso de matrícula.",Secretaría Académica,3,90
77,Bienestar,¿La UTP tiene convenios para prácticas profesionales?,"Sí, la UTP tiene una bolsa de trabajo y convenios con empresas. Puedes explorar las ofertas en el portal de empleabilidad.",Bienestar Universitario,5,30
78,Financiera,¿Puedo solicitar una factura por mis pagos?,"Sí, puedes solicitar una factura por tus pagos en la oficina de Tesorería, presentando tus recibos de pago.",Tesorería,4,30
79,Académica,¿Cómo me doy de baja temporal de la universidad?,"Para una baja temporal, debes presentar una solicitud justificada en Secretaría Académica dentro de los plazos establecidos.",Secretaría Académica,3,80
80,Tecnológica,Mi usuario de la UTP para Office 365 no funciona.,"Revisa tus credenciales. Si estás seguro de que son correctas, contacta a Soporte TI para que verifiquen tu cuenta de Office 365.",Soporte TI,3,70
81,Bienestar,¿Dónde están los consultorios de salud en el campus?,Los consultorios de salud están ubicados en el primer piso del edificio de Bienestar Universitario.,Bienestar Universitario,5,10
82,Académica,¿Cómo solicito la certificación de mis conocimientos de inglés?,La certificación de inglés se gestiona con el centro de idiomas de la UTP. Consulta sus fechas de exámenes.,Secretaría Académica,4,50
83,Financiera,¿El costo de titulación está incluido en la matrícula?,"No, el costo de titulación es un pago separado que se realiza al finalizar tus estudios y cumplir con los requisitos.",Tesorería,4,40
84,Académica,¿Qué hago si me equivoqué de curso al matricularme?,"Si te equivocaste de curso, puedes solicitar un cambio de matrícula dentro de los primeros días del semestre, sujeto a disponibilidad y aprobación.",Secretaría Académica,3,60
85,Tecnológica,No puedo acceder al sistema de notas.,"Verifica tu conexión y credenciales. Si el problema persiste, contacta a Soporte TI.",Soporte TI,3,25
86,Bienestar,¿Se ofrecen talleres de gestión del tiempo o estudio?,"Sí, Bienestar Universitario ofrece talleres de técnicas de estudio y gestión del tiempo. Consulta su programación.",Bienestar Universitario,5,20
87,Financiera,¿Puedo realizar un pago anticipado de mis cuotas?,"Sí, puedes realizar pagos anticipados de tus cuotas. Esto se reflejará en tu estado de cuenta.",Tesorería,5,15
88,Académica,¿Cuándo es el inicio de clases del semestre 2025-2?,El inicio de clases para el semestre 2025-2 es el 1 de septiembre de 2025.,Secretaría Académica,5,10
89,Bienestar,¿La UTP tiene centro de idiomas propio?,"Sí, la UTP cuenta con un Centro de Idiomas. Puedes encontrar información sobre sus cursos y horarios en la web.",Bienestar Universitario,5,20
90,Financiera,¿Cómo me inscribo para la beca de excelencia académica?,La inscripción para la beca de excelencia académica se realiza anualmente. Debes estar atento a la convocatoria de Bienestar Universitario.,Tesorería,4,45
91,Tecnológica,El zoom de mis clases no se conecta.,"Verifica tu conexión a internet y que la aplicación Zoom esté actualizada. Si el problema persiste, contacta a Soporte TI.",Soporte TI,3,55
92,Académica,¿Puedo rendir un examen de subsanación?,Los exámenes de subsanación están sujetos a la normativa académica vigente y a la aprobación del curso. Consulta el reglamento de estudios.,Secretaría Académica,3,70
93,Bienestar,¿Existen programas de voluntariado para estudiantes?,"Sí, Bienestar Universitario promueve programas de voluntariado. Puedes informarte sobre las oportunidades en su sección del portal.",Bienestar Universitario,4,30
94,Financiera,¿Cómo hago para fraccionar mi deuda?,"Para fraccionar tu deuda, debes acercarte a Tesorería o enviar una solicitud por el portal para evaluar tu caso.",Tesorería,3,60
95,Académica,¿Cuándo puedo ver mis notas de exámenes finales?,"Las notas de exámenes finales se publican en tu portal del estudiante, normalmente una semana después de finalizado el periodo de evaluaciones.",Secretaría Académica,5,15
96,Tecnológica,¿Cómo descargo los programas de Adobe gratis?,La UTP no proporciona licencias gratuitas de Adobe. Puedes revisar si existen descuentos para estudiantes en la web de Adobe.,Soporte TI,2,30
97,Bienestar,¿Se hacen actividades de integración para cachimbos?,"Sí, Bienestar Universitario organiza actividades de bienvenida e integración para los nuevos estudiantes al inicio de cada semestre.",Bienestar Universitario,5,20
98,Financiera,¿Dónde puedo conseguir un préstamo estudiantil?,"La UTP no otorga préstamos directamente, pero puedes consultar en Tesorería sobre convenios con entidades financieras.",Tesorería,3,50
99,Académica,¿Cómo solicito una reconsideración de nota?,Debes presentar una solicitud de reconsideración de nota a la Secretaría Académica de tu facultad dentro de los plazos establecidos.,Secretaría Académica,3,65
100,Tecnológica,Mi correo institucional no me deja enviar correos.,"Verifica el espacio de tu bandeja de entrada y la configuración de tu correo. Si no se soluciona, contacta a Soporte TI.",Soporte TI,3,45
101,Académica,¿Cuál es el proceso para la homologación de cursos?,La homologación de cursos se gestiona en Secretaría Académica presentando los sílabos y certificados de notas de la otra institución.,Secretaría Académica,3,110
102,Financiera,¿Hay algún cobro por constancia de no adeudo?,"No, la constancia de no adeudo es un documento gratuito que puedes descargar desde tu portal del estudiante.",Tesorería,5,5
103,Bienestar,¿Cómo puedo acceder a los talleres de desarrollo personal?,Los talleres de desarrollo personal son ofrecidos por Bienestar Universitario. Revisa su programación en el portal.,Bienestar Universitario,4,20
104,Tecnológica,No puedo abrir los archivos compartidos en OneDrive.,"Verifica que tienes los permisos necesarios para acceder a esos archivos. Si no, contacta al propietario del archivo o a Soporte TI.",Soporte TI,3,35
105,Académica,¿Cuándo puedo inscribirme a los talleres extracurriculares?,Las inscripciones a los talleres extracurriculares suelen abrirse al inicio de cada semestre. Revisa la web de Bienestar Universitario.,Secretaría Académica,4,25
106,Financiera,¿Mi recibo de pago es válido como comprobante para la Sunat?,"Sí, los recibos emitidos por la UTP son válidos como comprobantes de pago. Puedes descargarlos desde tu portal.",Tesorería,5,10
107,Bienestar,¿Se ofrecen charlas sobre salud mental?,"Sí, Bienestar Universitario realiza charlas y campañas sobre salud mental a lo largo del año académico.",Bienestar Universitario,5,20
108,Académica,¿Cómo solicito una dispensa por inasistencia a clases?,Las dispensas por inasistencia se solicitan en Secretaría Académica con la justificación y documentación de respaldo.,Secretaría Académica,3,70
109,Tecnológica,Tengo problemas con el uso del VPN para acceder a recursos.,"Verifica que el VPN esté instalado y configurado correctamente. Si persiste, contacta a Soporte TI para asistencia remota.",Soporte TI,3,60
110,Financiera,¿El seguro estudiantil tiene algún costo adicional?,"Normalmente el seguro estudiantil está incluido en la matrícula. Para detalles, consulta la sección de Tesorería o Bienestar.",Tesorería,4,30
111,Académica,¿Cómo puedo ver mi plan de estudios con los créditos que me faltan?,"Sí, en tu portal del estudiante, en la sección de ""Avance Curricular"", puedes ver los cursos que te faltan y sus créditos.",Secretaría Académica,5,10
112,Bienestar,¿La UTP tiene un programa de apoyo a la diversidad e inclusión?,"Sí, Bienestar Universitario trabaja en programas de diversidad e inclusión para garantizar un ambiente respetuoso para todos.",Bienestar Universitario,5,25
113,Financiera,¿Dónde pago mis multas por libros tardíos de la biblioteca?,"Las multas por libros tardíos se pagan directamente en la biblioteca o a través del sistema de pagos en línea, dependiendo del monto.",Tesorería,4,20
114,Académica,¿Cómo accedo a los sílabos de mis cursos?,Los sílabos de tus cursos están disponibles en la plataforma del aula virtual (Canvas/Blackboard) de cada curso.,Secretaría Académica,5,5
115,Tecnológica,Mi impresora del campus no funciona con mi laptop.,"Asegúrate de haber instalado los drivers correctos. Si el problema persiste, el personal de Soporte TI en la biblioteca puede ayudarte.",Soporte TI,4,40
116,Bienestar,¿Hay un centro de consejería de carrera en la UTP?,"Sí, Bienestar Universitario ofrece servicios de consejería de carrera y orientación profesional a través de su área de empleabilidad.",Bienestar Universitario,5,30
117,Académica,¿Cuál es el proceso para matricularme en cursos de otro campus?,La matrícula en cursos de otro campus requiere coordinación con Secretaría Académica de ambos campus y está sujeta a disponibilidad.,Secretaría Académica,3,90
118,Financiera,¿Necesito presentar algún documento para solicitar una beca?,"Sí, las becas requieren diversos documentos como constancias de notas, ingresos familiares, etc. Revisa los requisitos de cada convocatoria.",Tesorería,4,55
119,Bienestar,¿La UTP ofrece servicio de fisioterapia?,"Sí, el tópico de salud de Bienestar Universitario puede referirte a servicios de fisioterapia o brindarte orientación básica.",Bienestar Universitario,3,40
120,Tecnológica,¿Cómo descargo mi horario de clases en formato PDF?,"Puedes descargar tu horario de clases en formato PDF desde la sección ""Mi Horario"" en el portal del estudiante.",Soporte TI,5,10
121,Académica,¿Cuál es el reglamento de prácticas pre-profesionales?,"El reglamento de prácticas pre-profesionales se encuentra disponible en la web de la UTP, en la sección de Secretaría Académica o Empleabilidad.",Secretaría Académica,4,30
122,Financiera,¿Qué pasa si me atraso en el pago de una cuota?,"Si te atrasas en una cuota, se generarán intereses moratorios. Es importante regularizar tu situación lo antes posible.",Tesorería,3,25
123,Bienestar,¿Hay algún buzón de sugerencias o quejas para estudiantes?,"Sí, puedes enviar tus sugerencias o quejas a través del portal de Bienestar Universitario o contactar directamente a tu coordinador.",Bienestar Universitario,4,20
124,Tecnológica,No puedo ver los anuncios en el aula virtual.,Verifica tu configuración de notificaciones en el aula virtual y asegúrate de no tener bloqueadores de anuncios activados.,Soporte TI,4,30
125,Académica,¿Cómo solicito una equivalencia de curso de otra universidad?,"Las equivalencias de cursos se gestionan en Secretaría Académica, presentando el sílabo, notas y certificados de la universidad de origen.",Secretaría Académica,3,100
126,Financiera,¿Puedo adelantar cuotas para terminar de pagar antes?,"Sí, puedes adelantar el pago de tus cuotas en cualquier momento. Esto reduce el monto total de tu deuda.",Tesorería,5,10
127,Bienestar,¿La UTP tiene convenios con gimnasios externos?,Algunos campus pueden tener convenios con gimnasios cercanos. Consulta con el área de deportes de tu campus.,Bienestar Universitario,3,25
128,Académica,¿Cómo solicito una constancia de haber culminado mi carrera?,"Una vez egresado y con todos los requisitos cumplidos, puedes solicitar la ""Constancia de Egresado"" en tu portal del estudiante.",Secretaría Académica,5,30
129,Tecnológica,Mi micro de la laptop no funciona en las clases virtuales.,"Verifica la configuración de audio de tu laptop y de la plataforma de la clase. Si persiste, contacta a Soporte TI.",Soporte TI,3,40
130,Financiera,¿Cuál es el proceso para la activación de un código de descuento?,"Los códigos de descuento se activan al momento de realizar el pago en línea o en la Tesorería, si aplica a tu tipo de pago.",Tesorería,4,20
131,Académica,¿Cómo me doy de baja definitiva de la UTP?,"Para una baja definitiva, debes presentar una solicitud formal en Secretaría Académica y estar al día con tus pagos.",Secretaría Académica,3,90
132,Bienestar,¿Ofrecen servicios de orientación vocacional?,"Sí, Bienestar Universitario ofrece servicios de orientación vocacional para estudiantes que aún no definen su carrera.",Bienestar Universitario,5,35
133,Financiera,¿Se puede pagar con depósito bancario?,"Sí, puedes realizar depósitos bancarios a las cuentas de la UTP en los bancos autorizados. Asegúrate de usar tu código de estudiante.",Tesorería,5,10
134,Académica,¿Cómo solicito una carta de presentación para prácticas?,"Puedes solicitar una carta de presentación para prácticas en la sección de ""Empleabilidad"" de Bienestar Universitario, una vez que tengas la oferta.",Secretaría Académica,4,45
135,Tecnológica,La pantalla del proyector en el aula no se ve bien.,Reporta el incidente al personal de soporte técnico del campus o a tu docente para que puedan revisarlo.,Soporte TI,3,20
136,Bienestar,¿Hay atención de nutricionista en la UTP?,"Sí, Bienestar Universitario cuenta con servicio de nutrición. Puedes solicitar una cita en su área de salud.",Bienestar Universitario,4,30
137,Académica,¿Cuál es el reglamento de evaluación de la UTP?,El reglamento de evaluación está disponible en la sección académica del portal de la UTP. Es importante revisarlo para entender las normas de notas.,Secretaría Académica,4,25
138,Financiera,¿Qué hago si mi pago no se registra en el sistema?,"Si tu pago no se registra, envía el comprobante a Tesorería a través del portal de atención o acércate a sus oficinas para verificarlo.",Tesorería,4,60
139,Bienestar,¿La UTP tiene albergue o residencia estudiantil?,"La UTP no cuenta con residencia propia, pero Bienestar Universitario puede ofrecerte información sobre opciones de alojamiento cercanas.",Bienestar Universitario,2,40
140,Tecnológica,No puedo cambiar mi foto de perfil en el aula virtual.,Algunas plataformas limitan el cambio de foto de perfil. Revisa las configuraciones de tu aula virtual o consulta con Soporte TI.,Soporte TI,3,30
141,Académica,¿Cómo me reinscribo después de una baja temporal?,"Para reinscribirte después de una baja temporal, debes gestionar tu reincorporación en Secretaría Académica dentro de los plazos establecidos.",Secretaría Académica,3,85
142,Financiera,¿Hay algún recargo por pagar en cuotas?,"El sistema de cuotas no tiene un recargo adicional, pero el monto total está establecido en tu plan de pago.",Tesorería,4,20
143,Bienestar,¿Dónde consigo ayuda para mi currículum vitae?,El área de Empleabilidad de Bienestar Universitario ofrece asesoría para la elaboración y mejora de tu currículum vitae.,Bienestar Universitario,5,25
144,Tecnológica,¿Cómo accedo al software SPSS o STATA?,La UTP puede tener licencias de software especializado para ciertos cursos. Consulta con tu docente o Soporte TI para saber cómo acceder.,Soporte TI,3,50
145,Académica,¿Cuál es el proceso para una segunda titulación?,"La segunda titulación tiene un proceso similar a la primera, pero puede requerir menos créditos adicionales. Consulta en Secretaría Académica.",Secretaría Académica,3,90
146,Financiera,¿Puedo pagar mi matrícula con una tarjeta de débito que no es Visa/Mastercard?,"Los pagos en línea generalmente aceptan Visa y Mastercard. Para otras tarjetas, puedes consultar directamente en Tesorería.",Tesorería,3,25
147,Bienestar,¿Se organizan campañas de donación de sangre en la UTP?,"Sí, Bienestar Universitario organiza periódicamente campañas de donación de sangre en el campus. Estate atento a los avisos.",Bienestar Universitario,5,15
